ID,Name,Age,Course,City,Region,RandomValue,AgeExact
10000,Francis Shields,19.42,ITM,Marchtrenk,OOE,0.422963618,19
10001,Marshall Wilder,22.53,SWD,Vienna,W,0.528077346,22
10002,Jin Brennan,24.55,ITM,Koeflach,STMK,0.549371722,24
10003,Shad Whitfield,22.65,SWD,Goetzis,VBG,0.647088634,22
10004,Uta Reed,24.58,IMS,Wiener Neustadt,NOE,0.576996619,24
10005,Clarke Hicks,23.39,SWD,Parndorf,NOE,0.386661348,23
10006,Aretha Hawkins,24.63,IMS,Guessing,BGLD,0.625432593,24
10007,Caldwell Warner,22.74,ITM,Bischofshofen,SBG,0.736090334,22
10008,Kathleen Meadows,20.43,IMS,Innsbruck,T,0.434484388,20
10009,Martina Sykes,21.2,SWD,Laakirchen,NOE,0.203025815,21
10010,Noah Floyd,20.17,IMS,Vienna,W,0.167233194,20
10011,Lani Stafford,24.52,ITM,Sankt Johann im Pongau,SBG,0.517024912,24
10012,Price Bradshaw,23.39,SWD,Hohenems,VBG,0.38870388,23
10013,Joy Hensley,19.57,SWD,Voecklabruck,OOE,0.574147204,19
10014,Todd Schneider,25.01,ITM,Kitzbuehel,T,0.007816975,25
10015,Gary Sargent,19.39,IMS,Lustenau,VBG,0.393274269,19
10016,Jenette Parsons,24.4,SWD,Traun,OOE,0.395531061,24
10017,Alexa Reilly,25.58,SWD,Grosspetersdorf,STMK,0.581415728,25
10018,Kennedy Mckenzie,25.37,ITM,Bad Ischl,OOE,0.372223957,25
10019,Craig Whitfield,20.54,SWD,Klagenfurt,KTN,0.541005005,20
10020,Dora Ortiz,19.82,SWD,Saalfelden am Steinernen Meer,OOE,0.820851621,19
10021,Sawyer Mathis,20.11,ITM,Ebenthal in Kaernten,W,0.11282108,20
10022,Xavier Ryan,21.09,IMS,Kapfenberg,STMK,0.087712963,21
10023,Elmo Gaines,22.35,ITM,Perchtoldsdorf,VBG,0.354662064,22
10024,Bethany Hines,22.73,SWD,Salzburg,NOE,0.734773014,22
10025,Omar Abbott,20.1,IMS,Vienna,NOE,0.095623115,20
10026,Kai Hardy,19.2,SWD,Velden am Woerther See,BGLD,0.200960882,19
10027,Minerva Willis,19.2,IMS,Schwaz,SBG,0.198181566,19
10028,Breanna Brock,24.12,IMS,Hallein,T,0.12401907,24
10029,Priscilla Olson,19.91,ITM,Neunkirchen,NOE,0.909695861,19
10030,Colorado Finley,24.02,ITM,Saalfelden am Steinernen Meer,W,0.023246104,24
10031,Adena Sargent,22.6,SWD,Judenburg,SBG,0.595328212,22
10032,Macaulay Stevens,25.28,ITM,Leonding,VBG,0.281754159,25
10033,Xavier Pratt,20.9,ITM,Neunkirchen,OOE,0.897001087,20
10034,Rylee Guy,25.8,ITM,Ferlach,T,0.801449415,25
10035,Mara Wiley,21.14,IMS,Rum,VBG,0.144550999,21
10036,Kellie Jenkins,24.69,SWD,Altmuenster,OOE,0.685264545,24
10037,Emma Simmons,19.48,ITM,Neufeld an der Leitha,STMK,0.48054309,19
10038,Melvin Price,23.02,ITM,Rechnitz,OOE,0.022998309,23
10039,Bree Rivera,24.8,ITM,Feldkirchen in Kaernten,KTN,0.802593811,24
10040,Jared Nichols,23.03,SWD,Sierning,OOE,0.026750052,23
10041,Giselle King,21.87,IMS,Voitsberg,W,0.871287966,21
10042,May Ramirez,20.73,SWD,Mattersburg,STMK,0.730344653,20
10043,Benjamin Ford,20.37,ITM,Wiener Neustadt,VBG,0.369004506,20
10044,Brent Walton,24.61,IMS,Klosterneuburg,NOE,0.610300618,24
10045,Francis Mcdowell,23.07,ITM,Ternitz,NOE,0.066645706,23
10046,David Harvey,19.32,ITM,Gols,BGLD,0.316354428,19
10047,Martena Cotton,24.38,ITM,Poettsching,SBG,0.378649739,24
10048,Kellie Hays,22.92,IMS,Bischofshofen,T,0.917549467,22
10049,Wallace Waters,23.41,IMS,Oberwart,NOE,0.414447552,23
10050,Shay Cobb,25.44,ITM,Vienna,W,0.442815148,25
10051,Rachel Kramer,22.38,IMS,Tulln an der Donau,SBG,0.380725751,22
10052,Tanek Santiago,20.65,ITM,Wolfurt,VBG,0.651323758,20
10053,Elton Steele,24.24,ITM,Braunau am Inn,OOE,0.237588722,24
10054,Maxwell Ayers,24.65,SWD,Finkenstein am Faaker See,T,0.645326362,24
10055,Debra Lambert,24.58,ITM,Grosspetersdorf,VBG,0.578295824,24
10056,Louis Flynn,21.86,SWD,Ebenthal in Kaernten,OOE,0.855757575,21
10057,Alfreda Ingram,24.87,IMS,Pinkafeld,STMK,0.872702461,24
10058,Brenna Hood,22.89,IMS,Bad Ischl,OOE,0.886554565,22
10059,Carson Cannon,25.24,SWD,Feldkirch,KTN,0.237437991,25
10060,Denton Ross,24.31,IMS,Neusiedl am See,OOE,0.314022207,24
10061,Phelan Cardenas,23.31,SWD,Tulln an der Donau,W,0.314589139,23
10062,Rhea Leach,21.58,IMS,Enns,STMK,0.580686389,21
